Cl.,Plnt,Name 1,ValA,CustNoPlnt,Vendor number plant,Cal,Name 2,Street and House Number,PO Box,PostalCode,City,POrg,SOrg,B,Conds. at plant level,Source list,RP,Ctr,Rg,CCd,City,Address,Plnt,Tax Jur.,DstCh,Div.,Language,Plnt,VarKey,B,C,SDst,Region,Plant,R,Remind1,Remind2,Remind3,1st dunning,2nd Dunning,3rd Dunning,PO toler.,Business Place,SADet,Distrib. profile of plant,ArMk,DT,Nty,NamS,Cost Obj.Controlling,Mixed Costing,Actual Costing,ShPt,ActAct,CCtr Credit Cont,A,Seg. Status MRP,Order Allocation Run,Season Active in IM,Control Data for BOM,Val,Tp,Ind,Store Cat,Sup. DS
100,ESDB,DLA DISTRIBUTION ANNISTON,ESDB,SSW3120SDB,,US,SW3120,7 FRANKFORD AVE BLDG 362,,36201-4199,ANNISTON,,1790,,,,,US,AL,002,,0011276116,,,00,00,E,,,,,,,,,0,0,0,,,,0,,,,,,,,false,false,false,,,,,,,,,,,,,
100,ESH8,DLA DISTRIBUTION BAHRAIN SW AS,ESH8,SSW3191SH8,,US,SW3191,BLDG 3510 ROAD 1548 BLOCK 115,,00000,"AL HIDD 115 BH, BAHRAIN",,1790,,,,,US,AE,002,,0009049995,,,00,00,E,,,,,,,,,0,0,0,,,,0,,,,,,,,false,false,false,,,,,,,,,,,,,
100,ESDH,DLA DISTRIBUTION CHERRY POINT,ESDH,SSW3113SDH,,US,SW3113,PHANTOM RD BLDG 147 BAY A,,28533-5040,CHERRY POINT,,1790,,,,,US,NC,002,,0008872892,,,00,00,E,,,,,,,,,0,0,0,,,,0,,,,,,,,false,false,false,,,,,,,,,,,,,
100,ESDS,DLA DISTRIBUTION CORPUS CHRIST,ESDS,SSW3222SDS,,US,SW3222,540 FIRST STREET SE,,78419-5255,CORPUS CHRISTI,,1790,,,,,US,TX,002,,0011276118,,,00,00,E,,,,,,,,,0,0,0,,,,0,,,,,,,,false,false,false,,,,,,,,,,,,,
100,ESDT,DLA DISTRIBUTION DEPOT HILL,ESDT,SSW3210SDT,,US,SW3210,7537 WARDLEIGH RD,,84056-5734,HILL AFB,,1790,,,,,US,UT,002,,0008453000,,,00,00,E,,,,,,,,,0,0,0,,,,0,,,,,,,,false,false,false,,,,,,,,,,,,,
100,ESDQ,DLA DISTRIBUTION EUROPE,ESDQ,SSWE300SDQ,,US,SWE300,CMR 425 BOX 708,,09095-0700,APO,,1790,,,,,US,AE,002,,0008452999,,,00,00,E,,,,,,,,,0,0,0,,,,0,,,,,,,,false,false,false,,,,,,,,,,,,,
100,ES5J,DLA DISTRIBUTION KOREA - DDDK,ES5J,SSW3105S5J,,US,SW3105,UNIT 15758 CAMP CARROLL,,96260-5758,APO,,1790,,,,,US,AP,002,,0008872891,,,00,00,E,,,,,,,,,0,0,0,,,,0,,,,,,,,false,false,false,,,,,,,,,,,,,
100,ESDF,DLA DISTRIBUTION NORFOLK VA,ESDF,SSW3117SDF,,US,SW3117,1968 GILBERT ST BLDG W143 DWY,,23511-0001,NORFOLK,,1790,,,,,US,VA,002,,0008452998,,,00,00,E,,,,,,,,,0,0,0,,,,0,,,,,,,,false,false,false,,,,,,,,,,,,,
100,ESDN,DLA DISTRIBUTION RED RIVER,ESDN,SSW3227SDN,,US,SW3227,RECEIVING BLDG 499,,75507,TEXARKANA,,1790,,,,,US,TX,002,,0011300453,,,00,00,E,,,,,,,,,0,0,0,,,,0,,,,,,,,false,false,false,,,,,,,,,,,,,
100,ESRR,DLA DISTRIBUTION RICHMOND,ESRR,SSW0400SRR,,US,SW0400,GATE 13 BLDG 44 B BAY S.3RD ST,,23297-5900,RICHMOND,,1790,,,,,US,VA,002,,0009049996,,,00,00,E,,,,,,,,,0,0,0,,,,0,,,,,,,,false,false,false,,,,,,,,,,,,,
100,ESDX,DLA DISTRIBUTION SAN DIEGO,ESDX,SSW3218SDX,,US,SW3218,3581 CUMMINGS ROAD BLDG 3581,,92136-3581,SAN DIEGO,,1790,,,,,US,CA,002,,0008453002,,,00,00,E,,,,,,,,,0,0,0,,,,0,,,,,,,,false,false,false,,,,,,,,,,,,,
100,ESBX,DLA DISTRIBUTION SAN JOAQUIN,ESBX,SSW3224SBX,,US,SW3224,25600 SOUTH CHRISMAN ROAD,,95304-5000,TRACY,,1790,,,,,US,CA,002,,0011276115,,,00,00,E,,,,,,,,,0,0,0,,,,0,,,,,,,,false,false,false,,,,,,,,,,,,,
100,ESAD,DLA DISTRIBUTION SUSQUEHANNA P,ESAD,SSW3124SAD,,US,SW3124,2001 NORMANDY DRIVE DOOR 113-1,,17070-5002,NEW CUMBERLAND,,1790,,,,,US,PA,002,,0011276114,,,00,00,E,,,,,,,,,0,0,0,,,,0,,,,,,,,false,false,false,,,,,,,,,,,,,
100,ESDC,DLA DISTRIBUTION TOBYHANNA,ESDC,SSW3114SDC,,US,SW3114,WAREHOUSE 6 BAY 4,,18466-5059,TOBYHANNA,,1790,,,,,US,PA,002,,0011276117,,,00,00,E,,,,,,,,,0,0,0,,,,0,,,,,,,,false,false,false,,,,,,,,,,,,,
100,EL13,DO NOT USE,EL13,,,,,,,,,,,,,,,US,,,,0008872887,,,,,E,,,,,,,,,0,0,0,,,,0,,,,,,,,false,false,false,,,,,,,,,,,,,
100,ELC7,"HARRIS CORP, RFCD",ELC7,SL00114LC7,,US,L00114,1680 UNIVERSITY AVE,,14610,ROCHESTER,,1790,,,,,US,NY,002,,0008872888,,,00,00,E,,,,,,,,,0,0,0,,,,0,,,,,,,,false,false,false,,,,,,,,,,,,,
100,ELC9,L-3 CINCINNATI ELECTRONIC CO,ELC9,SL00097LC9,,US,L00097,7500 INNOVATION WAY,,45040-9699,MASON,,1790,,,,,US,OH,002,,0009187542,,,00,00,E,,,,,,,,,0,0,0,,,,0,,,,,,,,false,false,false,,,,,,,,,,,,,
100,EMR8,M/F RIP 1ST MAINT BN 1ST MLG M,EMR8,SMMFAG8MR8,,US,MMFAG8,MARINE CORPS BASE BLDG 2262,,92055-5001,Camp Pendleton,,1790,,,,,US,CA,002,,0010670656,,,00,00,E,,,,,,,,,0,0,0,,,,0,,,,,,,,false,false,false,,,,,,,,,,,,,
100,EMAB,MARINE CORPS LOGISTICS BASE,EMAB,SMMSA01MAB,,US,MMSA01,MARINE CORPS LOGISTICS BASE,,31704-5000,ALBANY,,1790,,,,,US,GA,002,,0008452994,,,00,00,E,,,,,,,,,0,0,0,,,,0,,,,,,,,false,false,false,,,,,,,,,,,,,
100,EMG4,MARINE DEPOT MAINTENANCE COMMA,EMG4,SM94702MG4,,US,M94702,BLDG 2200 DOOR N16 (BLDG 2229),,31704-0325,ALBANY,,1790,,,,,US,GA,001,,0009106523,,,00,00,E,,,,,,,,,0,0,0,,,,0,,,,,,,,false,false,false,,,,,,,,,,,,,
100,EP87,NAVAL SURFACE WARFARE CENTER,EP87,SN61331P87,,US,N61331,110 VERNON AVE,,32407-7001,PANAMA CITY BEACH,,1790,,,,,US,FL,002,,0008872890,,,00,00,E,,,,,,,,,0,0,0,,,,0,,,,,,,,false,false,false,,,,,,,,,,,,,
100,EP64,NSWC CRANE,EP64,SN00164P64,,US,N00164,300 HIGHWAY 361,,47522-5001,CRANE,,1790,,,,,US,IN,002,,0008872889,,,00,00,E,,,,,,,,,0,0,0,,,,0,,,,,,,,false,false,false,,,,,,,,,,,,,
100,EL07,RAYTHEON COMPANY,EL07,SL00780L07,,US,L00780,"E STREET, WHSE 404 WEST END",,92311,YERMO,,1790,,,,,US,CA,002,,0010039980,,,00,00,E,,,,,,,,,0,0,0,,,,0,,,,,,,,false,false,false,,,,,,,,,,,,,
100,ELN1,RAYTHEON COMPANY,ELN1,SL00241LN1,,US,L00241,BUILDING 1260 DOOR 9,,31705-5000,ALBANY,,1790,,,,,US,GA,002,,0009292621,,,00,00,E,,,,,,,,,0,0,0,,,,0,,,,,,,,false,false,false,,,,,,,,,,,,,
100,ECZJ,Raytheon/Lockheed Martin Javel,ECZJ,SCL001XCZJ,,US,CL001X,11099 S LA Cienega Blvd Ste 19,,90045-6149,Los Angeles,,1790,,,,,US,CA,002,,0010177154,,,00,00,E,,,,,,,,,0,0,0,,,,0,,,,,,,,false,false,false,,,,,,,,,,,,,
100,EMRA,REPARABLE ISSUE POINT OIC,EMRA,SMMFAF7MRA,,US,MMFAF7,BLDG 502 CAMP KINSER,,901-2100,CAMP KINSER,,1790,,,,,JP,,002,,0010616418,,,00,00,E,,,,,,,,,0,0,0,,,,0,,,,,,,,false,false,false,,,,,,,,,,,,,
100,EMFK,RIP MGR MMFAK9 T: 229-639-6598,EMFK,SMMFAK9MFK,,US,MMFAK9,MARFORRES MAINT FLOAT,,31704-0301,ALBANY,,1790,,,,,US,GA,002,,0010578859,,,00,00,E,,,,,,,,,0,0,0,,,,0,,,,,,,,false,false,false,,,,,,,,,,,,,
100,ELC2,SEILER INSTRUMENT AND MANUFACT,ELC2,SL00868LC2,,US,L00868,3433 TREE COURT INDUSTRIAL BLV,,63122-6617,SAINT LOUIS,,1790,,,,,US,MO,002,,0009187548,,,00,00,E,,,,,,,,,0,0,0,,,,0,,,,,,,,false,false,false,,,,,,,,,,,,,
100,EL10,"TERADYNE, INC",EL10,SL00010L10,,US,L00010,600 RIVERPARK DR,,01864,NORTH READING,,1790,,,,,US,MA,002,,0009771281,,,00,00,E,,,,,,,,,0,0,0,,,,0,,,,,,,,false,false,false,,,,,,,,,,,,,
100,ELM1,"THALES DEFENSE & SECURITY, INC",ELM1,SL9001MLM1,,US,L9001M,22605 GATEWAY CENTER DRIVE,,20871,CLARKSBURG,,1790,,,,,US,MD,002,,0009187543,,,00,00,E,,,,,,,,,0,0,0,,,,0,,,,,,,,false,false,false,,,,,,,,,,,,,
100,EMUY,TRAFFIC MANAGEMENT OFFICER,EMUY,SM93645MUY,,US,M93645,WAREHOUSE 405 MARCORLOGBASE,,92398,YERMO,,1790,,,,,US,CA,001,,0009106524,,,00,00,E,,,,,,,,,0,0,0,,,,0,,,,,,,,false,false,false,,,,,,,,,,,,,
100,EB52,U S ARMY DEPOT CORPUS CHRISTI,EB52,SW45H08B52,,US,W45H08,540 FIRST ST SE BLDG 1846,,78419-5255,CORPUS CHRISTI,,1790,,,,,US,TX,002,,0008872885,,,00,00,E,,,,,,,,,0,0,0,,,,0,,,,,,,,false,false,false,,,,,,,,,,,,,
100,EBK5,U S ARMY DEPOT LETTERKENNY,EBK5,SW90CGJBK5,,US,W90CGJ,1 OVERCASH AVE LETTERKENNY AD,,17201-4150,CHAMBERSBURG,,1790,,,,,US,PA,002,,0008452991,,,00,00,E,,,,,,,,,0,0,0,,,,0,,,,,,,,false,false,false,,,,,,,,,,,,,
100,EBYF,U S ARMY DEPOT TOBYHANNA,EBYF,SW90CGGBYF,,US,W90CGG,SQUIRE STREET,,18466-5050,TOBYHANNA,,1790,,,,,US,PA,002,,0008872886,,,00,00,E,,,,,,,,,0,0,0,,,,0,,,,,,,,false,false,false,,,,,,,,,,,,,
100,EBK0,US Army Depot Letterkenny,EBK0,SW25G1QBK0,,US,W25G1Q,Building 370 Receiving,,17201-4150,Chambersburg,,1790,,,,,US,PA,002,,0009093318,,,00,00,E,,,,,,,,,0,0,0,,,,0,,,,,,,,false,false,false,,,,,,,,,,,,,
100,EBY0,US Army Depot Tobyhanna,EBY0,SW25G1VBY0,,US,W25G1V,ASARS 1C Bay 6,,18466-5075,Tobyhanna,,1790,,,,,US,PA,002,,0009093319,,,00,00,E,,,,,,,,,0,0,0,,,,0,,,,,,,,false,false,false,,,,,,,,,,,,,
100,EAQ5,W1A8 DLA DIST SAN JOAQUIN,EAQ5,SW62G2TAQ5,,US,W62G2T,25600 S CHRISMAN ROAD REC WHSE,,95304-5000,TRACY,,1790,,,,,US,CA,002,,0008452989,,,00,00,E,,,,,,,,,0,0,0,,,,0,,,,,,,,false,false,false,,,,,,,,,,,,,
100,EAN5,W1A8 DLA DISTRIBUTION,EAN5,SW25G1UAN5,,US,W25G1U,2001 NORMANDY DRIV DOOR 113,,17070-5002,NEW CUMBERLAND,,1790,,,,,US,PA,002,,0008452988,,,00,00,E,,,,,,,,,0,0,0,,,,0,,,,,,,,false,false,false,,,,,,,,,,,,,
100,ESG2,W1A8 DLA DISTRIBUTION,ESG2,SSW3215SG2,,US,SW3215,CENTRAL RECEIVING WHSE 7,,92311-5014,BARSTOW,,1790,,,,,US,CA,002,,0008453003,,,00,00,E,,,,,,,,,0,0,0,,,,0,,,,,,,,false,false,false,,,,,,,,,,,,,
100,EBY6,W1A8 DLA DIST-TOBYANNA,EBY6,SW25G1WBY6,,US,W25G1W,WAREHOUSE 6 BAY 4,,18466-5059,TOBYHANNA,,1790,,,,,US,PA,002,,0008452993,,,00,00,E,,,,,,,,,0,0,0,,,,0,,,,,,,,false,false,false,,,,,,,,,,,,,
100,EBR4,W390 RED RIVER MUNITIONS CTR,EBR4,SW562RMBR4,,US,W562RM,HIGHWAY 82 WEST,,75507-5000,TEXARKANA,,1790,,,,,US,TX,002,,0008452992,,,00,00,E,,,,,,,,,0,0,0,,,,0,,,,,,,,false,false,false,,,,,,,,,,,,,
